Parameters,PDB_ID,Pocket,Pocket_Type,Ligand_Overlap,Pocket_Overlap,Center_Offset,Volume_Ratio,PDB_count,PocNum_Max
m2.6_M5.4_i10_D1.6,1F27,1,Known,0.75,1,1.4,,13,8
m2.6_M5.4_i10_D1.6,1Q8N,1,Known,1,0.87,1.44,,13,18
m2.6_M5.4_i10_D1.6,2GDI,1,Known,0.5,0.853,5.68,,13,23
m2.6_M5.4_i10_D1.6,3E5C,3,Known,0.667,1,3.92,,13,11
m2.6_M5.4_i10_D1.6,3E5C,5,Known,0.37,1,4.44,,13,11
m2.6_M5.4_i10_D1.6,3NPQ,2,Known,0.5,1,4.62,,13,15
m2.6_M5.4_i10_D1.6,3NPQ,3,Known,0.346,1,5.83,,13,15
m2.6_M5.4_i10_D1.6,4B5R,4,Known,0.37,0.781,5.51,,13,31
m2.6_M5.4_i10_D1.6,4B5R,7,Known,0.37,1,4.13,,13,31
m2.6_M5.4_i10_D1.6,4B5R,24,Known,0.333,1,3.34,,13,31
m2.6_M5.4_i10_D1.6,4RZD,1,Known,1,0.892,1.79,,13,19
m2.6_M5.4_i10_D1.6,5KX9,3,Known,0.593,0.887,3.37,,13,40
m2.6_M5.4_i10_D1.6,6FZ0,1,Known,0.63,0.978,3.68,,13,15
m2.6_M5.4_i10_D1.6,6LAS,2,Known,0.593,1,4.06,,13,16
m2.6_M5.4_i10_D1.6,6UBU,1,Known,1,1,0.737,,13,24
m2.6_M5.4_i10_D1.6,7ELR,1,Known,1,0.884,1.31,,13,13
m2.6_M5.4_i10_D1.6,7ELR,2,Known,0.455,0.303,4.89,,13,13
m2.6_M5.4_i10_D1.6,8D2B,1,Known,0.696,1,4.13,,13,7
m2.6_M5.4_i10_D2.0,1F27,1,Known,0.75,0.604,4.06,,13,7
m2.6_M5.4_i10_D2.0,1Q8N,1,Known,1,0.725,0.799,,13,17
m2.6_M5.4_i10_D2.0,2GDI,1,Known,0.5,0.79,5.51,,13,30
m2.6_M5.4_i10_D2.0,3E5C,2,Known,0.778,1,3.03,,13,9
m2.6_M5.4_i10_D2.0,3NPQ,2,Known,0.5,1,4.62,,13,16
m2.6_M5.4_i10_D2.0,3NPQ,3,Known,0.346,0.94,5.98,,13,16
m2.6_M5.4_i10_D2.0,4B5R,2,Known,0.63,0.897,3.02,,13,33
m2.6_M5.4_i10_D2.0,4RZD,1,Known,1,0.9,1.43,,13,21
m2.6_M5.4_i10_D2.0,5KX9,6,Known,0.815,0.686,3.78,,13,38
m2.6_M5.4_i10_D2.0,6FZ0,3,Known,0.704,0.947,3.65,,13,16
m2.6_M5.4_i10_D2.0,6LAS,2,Known,0.593,0.963,3.99,,13,20
m2.6_M5.4_i10_D2.0,6UBU,1,Known,1,0.486,1.99,,13,25
m2.6_M5.4_i10_D2.0,7ELR,1,Known,1,0.613,0.682,,13,13
m2.6_M5.4_i10_D2.4,1F27,1,Known,0.75,0.516,3.72,,13,6
m2.6_M5.4_i10_D2.4,1Q8N,1,Known,1,0.34,0.819,,13,13
m2.6_M5.4_i10_D2.4,2GDI,1,Known,0.615,0.436,4.23,,13,36
m2.6_M5.4_i10_D2.4,3E5C,2,Known,0.778,0.673,4.8,,13,9
m2.6_M5.4_i10_D2.4,3NPQ,1,Known,0.923,0.645,2.92,,13,17
m2.6_M5.4_i10_D2.4,4B5R,2,Known,0.63,0.782,3.83,,13,45
m2.6_M5.4_i10_D2.4,4RZD,3,Known,1,0.875,1.51,,13,34
m2.6_M5.4_i10_D2.4,5KX9,2,Known,1,0.287,1.92,,13,33
m2.6_M5.4_i10_D2.4,6FZ0,5,Known,0.704,0.947,3.65,,13,15
m2.6_M5.4_i10_D2.4,6LAS,2,Known,0.593,0.963,3.99,,13,26
m2.6_M5.4_i10_D2.4,6UBU,1,Known,1,0.449,2.48,,13,23
m2.6_M5.4_i10_D2.4,7ELR,1,Known,1,0.543,0.844,,13,14
m2.6_M5.4_i10_D2.8,1F27,1,Known,0.875,0.508,3.54,,13,11
m2.6_M5.4_i10_D2.8,1Q8N,1,Known,1,0.313,0.602,,13,14
m2.6_M5.4_i10_D2.8,2GDI,1,Known,0.731,0.175,4.64,,13,36
m2.6_M5.4_i10_D2.8,3E5C,2,Known,0.889,0.551,3.5,,13,15
m2.6_M5.4_i10_D2.8,3NPQ,1,Known,0.923,0.583,3.19,,13,20
m2.6_M5.4_i10_D2.8,4B5R,4,Known,0.37,1,3.62,,13,38
m2.6_M5.4_i10_D2.8,4B5R,9,Known,0.63,0.735,3.81,,13,38
m2.6_M5.4_i10_D2.8,4RZD,1,Known,1,0.339,5.68,,13,59
m2.6_M5.4_i10_D2.8,5KX9,1,Known,1,0.227,2.6,,13,40
m2.6_M5.4_i10_D2.8,6FZ0,13,Known,0.704,0.948,3.58,,13,14
m2.6_M5.4_i10_D2.8,6LAS,4,Known,0.741,0.733,3.32,,13,28
m2.6_M5.4_i10_D2.8,6UBU,1,Known,1,0.263,5.78,,13,20
m2.6_M5.4_i10_D2.8,7ELR,2,Known,1,0.411,2.76,,13,16
m2.6_M5.4_i10_D3.2,1F27,1,Known,1,0.522,3.33,,13,10
m2.6_M5.4_i10_D3.2,1Q8N,1,Known,1,0.294,0.654,,13,12
m2.6_M5.4_i10_D3.2,2GDI,1,Known,0.731,0.107,2.83,,13,24
m2.6_M5.4_i10_D3.2,3NPQ,1,Known,0.923,0.468,4.42,,13,19
m2.6_M5.4_i10_D3.2,4B5R,8,Known,0.63,0.678,3.95,,13,23
m2.6_M5.4_i10_D3.2,4RZD,34,Known,1,0.111,5.51,,13,38
m2.6_M5.4_i10_D3.2,5KX9,1,Known,1,0.18,3.38,,13,30
m2.6_M5.4_i10_D3.2,6FZ0,12,Known,0.704,0.893,3.68,,13,12
m2.6_M5.4_i10_D3.2,6LAS,3,Known,0.741,0.466,3.93,,13,22
m2.6_M5.4_i10_D3.2,7ELR,1,Known,1,0.349,2.47,,13,12
m2.6_M5.4_i15_D1.6,1F27,1,Known,0.75,1,1.4,,13,8
m2.6_M5.4_i15_D1.6,1Q8N,1,Known,1,0.87,1.44,,13,9
m2.6_M5.4_i15_D1.6,2GDI,1,Known,0.5,0.853,5.68,,13,15
m2.6_M5.4_i15_D1.6,3E5C,3,Known,0.667,1,3.92,,13,7
m2.6_M5.4_i15_D1.6,3E5C,5,Known,0.37,1,4.44,,13,7
m2.6_M5.4_i15_D1.6,3NPQ,2,Known,0.5,1,4.62,,13,7
m2.6_M5.4_i15_D1.6,3NPQ,3,Known,0.346,1,5.83,,13,7
m2.6_M5.4_i15_D1.6,4B5R,4,Known,0.37,0.781,5.51,,13,11
m2.6_M5.4_i15_D1.6,4B5R,7,Known,0.37,1,4.13,,13,11
m2.6_M5.4_i15_D1.6,4RZD,1,Known,1,0.892,1.79,,13,8
m2.6_M5.4_i15_D1.6,5KX9,3,Known,0.593,0.887,3.37,,13,29
m2.6_M5.4_i15_D1.6,6FZ0,1,Known,0.63,0.978,3.68,,13,12
m2.6_M5.4_i15_D1.6,6LAS,2,Known,0.593,1,4.06,,13,8
m2.6_M5.4_i15_D1.6,6UBU,1,Known,1,1,0.737,,13,11
m2.6_M5.4_i15_D1.6,7ELR,1,Known,1,0.884,1.31,,13,7
m2.6_M5.4_i15_D1.6,7ELR,2,Known,0.455,0.303,4.89,,13,7
m2.6_M5.4_i15_D1.6,8D2B,1,Known,0.696,1,4.13,,13,5
m2.6_M5.4_i15_D2.0,1F27,1,Known,0.75,0.604,4.06,,13,6
m2.6_M5.4_i15_D2.0,1Q8N,1,Known,1,0.725,0.799,,13,13
m2.6_M5.4_i15_D2.0,2GDI,1,Known,0.5,0.79,5.51,,13,18
m2.6_M5.4_i15_D2.0,3E5C,2,Known,0.778,1,3.03,,13,6
m2.6_M5.4_i15_D2.0,3NPQ,2,Known,0.5,1,4.62,,13,11
m2.6_M5.4_i15_D2.0,3NPQ,3,Known,0.346,0.94,5.98,,13,11
m2.6_M5.4_i15_D2.0,4B5R,2,Known,0.63,0.897,3.02,,13,15
m2.6_M5.4_i15_D2.0,4RZD,1,Known,1,0.9,1.43,,13,11
m2.6_M5.4_i15_D2.0,5KX9,6,Known,0.815,0.686,3.78,,13,29
m2.6_M5.4_i15_D2.0,6FZ0,3,Known,0.704,0.947,3.65,,13,14
m2.6_M5.4_i15_D2.0,6LAS,2,Known,0.593,0.963,3.99,,13,11
m2.6_M5.4_i15_D2.0,6UBU,1,Known,1,0.486,1.99,,13,12
m2.6_M5.4_i15_D2.0,7ELR,1,Known,1,0.613,0.682,,13,5
m2.6_M5.4_i15_D2.4,1F27,1,Known,0.75,0.516,3.72,,13,4
m2.6_M5.4_i15_D2.4,1Q8N,1,Known,1,0.34,0.819,,13,8
m2.6_M5.4_i15_D2.4,2GDI,1,Known,0.615,0.436,4.23,,13,18
m2.6_M5.4_i15_D2.4,3E5C,2,Known,0.778,0.673,4.8,,13,6
m2.6_M5.4_i15_D2.4,3NPQ,1,Known,0.923,0.645,2.92,,13,9
m2.6_M5.4_i15_D2.4,4B5R,2,Known,0.63,0.782,3.83,,13,22
m2.6_M5.4_i15_D2.4,4RZD,3,Known,1,0.875,1.51,,13,17
