Parameters,PDB_ID,Pocket,Pocket_Type,Ligand_Overlap,Pocket_Overlap,Center_Offset,Volume_Ratio,PDB_count,PocNum_Max
m2.6_M5.0_i20_D1.6,1Q8N,1,Known,0.6,0.763,5.86,,13,6
m2.6_M5.0_i20_D1.6,1Q8N,2,Known,0.48,1,4.65,,13,6
m2.6_M5.0_i20_D1.6,1Q8N,6,Known,0.36,0.938,4.9,,13,6
m2.6_M5.0_i20_D1.6,1Q8N,3,Novel,0,0,23.6,,13,6
m2.6_M5.0_i20_D1.6,1Q8N,4,Novel,0,0,15.2,,13,6
m2.6_M5.0_i20_D1.6,1Q8N,5,Novel,0.08,0.16,7.63,,13,6
m2.6_M5.0_i20_D1.6,2GDI,1,Novel,0.154,0.08,7.3,,13,6
m2.6_M5.0_i20_D1.6,2GDI,4,Novel,0,0,33.9,,13,6
m2.6_M5.0_i20_D1.6,2GDI,5,Novel,0,0,10.9,,13,6
m2.6_M5.0_i20_D1.6,2GDI,6,Novel,0,0,24,,13,6
m2.6_M5.0_i20_D1.6,2GDI,2,Overlap,0.269,0.143,5.87,,13,6
m2.6_M5.0_i20_D1.6,2GDI,3,Overlap,0.385,1,7,,13,6
m2.6_M5.0_i20_D1.6,3E5C,3,Known,0.407,1,4.37,,13,3
m2.6_M5.0_i20_D1.6,3E5C,1,Novel,0,0,13.5,,13,3
m2.6_M5.0_i20_D1.6,3E5C,2,Novel,0,0,10.6,,13,3
m2.6_M5.0_i20_D1.6,3NPQ,2,Known,0.5,1,4.58,,13,4
m2.6_M5.0_i20_D1.6,3NPQ,1,Novel,0,0,20.4,,13,4
m2.6_M5.0_i20_D1.6,3NPQ,4,Novel,0,0,16.3,,13,4
m2.6_M5.0_i20_D1.6,3NPQ,3,Overlap,0.308,1,6.7,,13,4
m2.6_M5.0_i20_D1.6,4B5R,1,Novel,0,0,23.7,,13,3
m2.6_M5.0_i20_D1.6,4B5R,2,Novel,0,0,19.7,,13,3
m2.6_M5.0_i20_D1.6,4B5R,3,Novel,0,0,16.8,,13,3
m2.6_M5.0_i20_D1.6,4RZD,1,Known,0.923,0.854,2.34,,13,5
m2.6_M5.0_i20_D1.6,4RZD,2,Novel,0,0,9.86,,13,5
m2.6_M5.0_i20_D1.6,4RZD,3,Novel,0,0,21,,13,5
m2.6_M5.0_i20_D1.6,4RZD,4,Novel,0,0,21.6,,13,5
m2.6_M5.0_i20_D1.6,4RZD,5,Novel,0,0,14.2,,13,5
m2.6_M5.0_i20_D1.6,5KX9,3,Known,0.593,0.846,3.86,,13,8
m2.6_M5.0_i20_D1.6,5KX9,1,Novel,0,0,16.6,,13,8
m2.6_M5.0_i20_D1.6,5KX9,2,Novel,0,0,18.8,,13,8
m2.6_M5.0_i20_D1.6,5KX9,4,Novel,0,0,21,,13,8
m2.6_M5.0_i20_D1.6,5KX9,5,Novel,0,0,21.6,,13,8
m2.6_M5.0_i20_D1.6,5KX9,6,Novel,0,0,26.2,,13,8
m2.6_M5.0_i20_D1.6,5KX9,7,Novel,0,0,14.9,,13,8
m2.6_M5.0_i20_D1.6,5KX9,8,Novel,0,0,22.2,,13,8
m2.6_M5.0_i20_D1.6,6FZ0,2,Known,0.593,0.971,3.79,,13,5
m2.6_M5.0_i20_D1.6,6FZ0,1,Novel,0.037,0.0149,9.7,,13,5
m2.6_M5.0_i20_D1.6,6FZ0,3,Novel,0,0,8.46,,13,5
m2.6_M5.0_i20_D1.6,6FZ0,4,Novel,0,0,14.9,,13,5
m2.6_M5.0_i20_D1.6,6FZ0,5,Novel,0.111,0.522,8.15,,13,5
m2.6_M5.0_i20_D1.6,6LAS,1,Known,0.556,1,4.23,,13,5
m2.6_M5.0_i20_D1.6,6LAS,2,Novel,0,0,11.4,,13,5
m2.6_M5.0_i20_D1.6,6LAS,3,Novel,0,0,17.9,,13,5
m2.6_M5.0_i20_D1.6,6LAS,4,Novel,0,0,13.2,,13,5
m2.6_M5.0_i20_D1.6,6LAS,5,Novel,0,0,27.2,,13,5
m2.6_M5.0_i20_D1.6,6UBU,1,Known,1,1,0.819,,13,3
m2.6_M5.0_i20_D1.6,6UBU,2,Novel,0,0,26.1,,13,3
m2.6_M5.0_i20_D1.6,6UBU,3,Novel,0,0,5.35,,13,3
m2.6_M5.0_i20_D1.6,7ELR,1,Known,1,0.921,1.17,,13,3
m2.6_M5.0_i20_D1.6,7ELR,2,Known,0.455,0.303,4.89,,13,3
m2.6_M5.0_i20_D1.6,7ELR,3,Novel,0,0,11.1,,13,3
m2.6_M5.0_i20_D1.6,8D2B,1,Known,0.543,1,4.78,,13,4
m2.6_M5.0_i20_D1.6,8D2B,2,Novel,0,0,13.5,,13,4
m2.6_M5.0_i20_D1.6,8D2B,3,Novel,0,0,11.4,,13,4
m2.6_M5.0_i20_D1.6,8D2B,4,Novel,0,0,14.6,,13,4
m2.6_M5.0_i20_D1.8,1F27,2,Known,0.625,1,1.25,,13,2
m2.6_M5.0_i20_D1.8,1F27,1,Overlap,0.25,0.159,7.65,,13,2
m2.6_M5.0_i20_D1.8,1Q8N,1,Known,1,0.736,1.02,,13,4
m2.6_M5.0_i20_D1.8,1Q8N,2,Novel,0,0,7.85,,13,4
m2.6_M5.0_i20_D1.8,1Q8N,3,Novel,0,0,16.2,,13,4
m2.6_M5.0_i20_D1.8,1Q8N,4,Novel,0,0,23.6,,13,4
m2.6_M5.0_i20_D1.8,2GDI,1,Novel,0.154,0.08,7.3,,13,8
m2.6_M5.0_i20_D1.8,2GDI,2,Novel,0,0,32.2,,13,8
m2.6_M5.0_i20_D1.8,2GDI,5,Novel,0,0,14.5,,13,8
m2.6_M5.0_i20_D1.8,2GDI,6,Novel,0,0,10.9,,13,8
m2.6_M5.0_i20_D1.8,2GDI,7,Novel,0,0,22.7,,13,8
m2.6_M5.0_i20_D1.8,2GDI,8,Novel,0,0,24,,13,8
m2.6_M5.0_i20_D1.8,2GDI,3,Overlap,0.269,0.143,5.87,,13,8
m2.6_M5.0_i20_D1.8,2GDI,4,Overlap,0.385,1,7,,13,8
m2.6_M5.0_i20_D1.8,3E5C,2,Known,0.407,1,4.37,,13,3
m2.6_M5.0_i20_D1.8,3E5C,1,Novel,0,0,11.9,,13,3
m2.6_M5.0_i20_D1.8,3E5C,3,Novel,0,0,9.27,,13,3
m2.6_M5.0_i20_D1.8,3NPQ,2,Known,0.5,1,4.58,,13,4
m2.6_M5.0_i20_D1.8,3NPQ,1,Novel,0,0,20.3,,13,4
m2.6_M5.0_i20_D1.8,3NPQ,4,Novel,0,0,16.3,,13,4
m2.6_M5.0_i20_D1.8,3NPQ,3,Overlap,0.308,0.938,6.76,,13,4
m2.6_M5.0_i20_D1.8,4B5R,1,Novel,0,0,17.3,,13,4
m2.6_M5.0_i20_D1.8,4B5R,2,Novel,0,0,23.7,,13,4
m2.6_M5.0_i20_D1.8,4B5R,3,Novel,0,0,11.9,,13,4
m2.6_M5.0_i20_D1.8,4B5R,4,Novel,0,0,20.5,,13,4
m2.6_M5.0_i20_D1.8,4RZD,1,Known,0.923,0.854,2.34,,13,5
m2.6_M5.0_i20_D1.8,4RZD,2,Novel,0,0,10.1,,13,5
m2.6_M5.0_i20_D1.8,4RZD,3,Novel,0,0,20.6,,13,5
m2.6_M5.0_i20_D1.8,4RZD,4,Novel,0,0,14.2,,13,5
m2.6_M5.0_i20_D1.8,4RZD,5,Novel,0,0,21.6,,13,5
m2.6_M5.0_i20_D1.8,5KX9,5,Known,0.593,0.724,4.53,,13,10
m2.6_M5.0_i20_D1.8,5KX9,1,Novel,0,0,16.2,,13,10
m2.6_M5.0_i20_D1.8,5KX9,2,Novel,0,0,18.8,,13,10
m2.6_M5.0_i20_D1.8,5KX9,3,Novel,0,0,10.4,,13,10
m2.6_M5.0_i20_D1.8,5KX9,4,Novel,0,0,22.1,,13,10
m2.6_M5.0_i20_D1.8,5KX9,6,Novel,0,0,23.4,,13,10
m2.6_M5.0_i20_D1.8,5KX9,7,Novel,0,0,21.6,,13,10
m2.6_M5.0_i20_D1.8,5KX9,8,Novel,0,0,11.5,,13,10
m2.6_M5.0_i20_D1.8,5KX9,9,Novel,0,0,21.3,,13,10
m2.6_M5.0_i20_D1.8,5KX9,10,Novel,0,0,26.2,,13,10
m2.6_M5.0_i20_D1.8,6FZ0,2,Known,0.593,0.944,3.75,,13,5
m2.6_M5.0_i20_D1.8,6FZ0,1,Novel,0.0741,0.0395,9.79,,13,5
m2.6_M5.0_i20_D1.8,6FZ0,3,Novel,0,0,8.76,,13,5
m2.6_M5.0_i20_D1.8,6FZ0,5,Novel,0,0,14.9,,13,5
m2.6_M5.0_i20_D1.8,6FZ0,4,Overlap,0.259,0.611,7.01,,13,5
m2.6_M5.0_i20_D1.8,6LAS,2,Known,0.556,1,4.23,,13,5
m2.6_M5.0_i20_D1.8,6LAS,1,Novel,0,0,12,,13,5
m2.6_M5.0_i20_D1.8,6LAS,3,Novel,0,0,14.5,,13,5
m2.6_M5.0_i20_D1.8,6LAS,4,Novel,0,0,17.9,,13,5
m2.6_M5.0_i20_D1.8,6LAS,5,Novel,0,0,27.2,,13,5
m2.6_M5.0_i20_D1.8,6UBU,2,Known,1,0.78,1.62,,13,3
m2.6_M5.0_i20_D1.8,6UBU,1,Novel,0.0909,0.0645,5.32,,13,3
m2.6_M5.0_i20_D1.8,6UBU,3,Novel,0,0,26.1,,13,3
m2.6_M5.0_i20_D1.8,7ELR,1,Known,1,0.727,0.869,,13,3
m2.6_M5.0_i20_D1.8,7ELR,2,Novel,0,0,10.7,,13,3
m2.6_M5.0_i20_D1.8,7ELR,3,Novel,0,0,11.9,,13,3
m2.6_M5.0_i20_D1.8,8D2B,1,Known,0.543,0.982,4.73,,13,5
m2.6_M5.0_i20_D1.8,8D2B,2,Novel,0,0,13.5,,13,5
m2.6_M5.0_i20_D1.8,8D2B,3,Novel,0,0,8.89,,13,5
m2.6_M5.0_i20_D1.8,8D2B,4,Novel,0,0,11.4,,13,5
m2.6_M5.0_i20_D1.8,8D2B,5,Novel,0,0,14.6,,13,5
m2.6_M5.0_i20_D2.0,1F27,2,Known,0.688,1,1.37,,13,2
m2.6_M5.0_i20_D2.0,1F27,1,Overlap,0.25,0.159,7.65,,13,2
m2.6_M5.0_i20_D2.0,1Q8N,1,Known,1,0.709,0.965,,13,5
m2.6_M5.0_i20_D2.0,1Q8N,2,Novel,0,0,7.47,,13,5
m2.6_M5.0_i20_D2.0,1Q8N,3,Novel,0,0,16.2,,13,5
