Parameters,Sens,PPV,PocNum_Mean,PocNum_Max
m3.0_M5.6_i40_D1.65,1,0.778,1.38,2
m3.0_M5.6_i40_D1.7,1,0.778,1.38,2
m3.0_M5.7_i44_D1.65,1,0.778,1.38,2
m3.0_M5.7_i44_D1.7,1,0.778,1.38,2
m3.1_M5.5_i36_D1.65,1,0.737,1.46,2
m3.1_M5.5_i36_D1.7,1,0.737,1.46,2
m3.1_M5.6_i38_D1.65,1,0.737,1.46,3
m3.1_M5.6_i38_D1.7,1,0.737,1.46,3
m3.0_M5.5_i36_D1.65,1,0.7,1.54,2
m3.0_M5.7_i42_D1.65,1,0.7,1.54,3
m3.0_M5.7_i42_D1.7,1,0.7,1.54,3
m3.1_M5.6_i36_D1.65,1,0.7,1.54,3
m3.1_M5.6_i36_D1.7,1,0.7,1.54,3
m3.0_M5.5_i36_D1.7,1,0.667,1.62,3
m3.0_M5.6_i36_D1.65,1,0.667,1.62,3
m3.0_M5.6_i38_D1.65,1,0.667,1.62,3
m3.0_M5.7_i40_D1.65,1,0.667,1.62,3
m3.1_M5.7_i36_D1.65,1,0.667,1.62,3
m3.1_M5.7_i36_D1.7,1,0.667,1.62,3
m3.1_M5.7_i38_D1.65,1,0.667,1.62,3
m3.1_M5.7_i38_D1.7,1,0.667,1.62,3
m2.9_M5.6_i42_D1.65,1,0.636,1.69,3
m2.9_M5.6_i42_D1.7,1,0.636,1.69,3
m3.0_M5.6_i38_D1.7,1,0.636,1.69,3
m3.0_M5.7_i40_D1.7,1,0.636,1.69,3
m3.0_M5.8_i44_D1.65,1,0.636,1.69,3
m3.0_M5.8_i44_D1.7,1,0.636,1.69,3
m3.1_M5.8_i36_D1.65,1,0.636,1.69,4
m3.1_M5.8_i38_D1.65,1,0.636,1.69,4
m2.8_M5.5_i42_D1.65,1,0.609,1.77,3
m2.9_M5.7_i44_D1.65,1,0.609,1.77,3
m2.9_M5.7_i44_D1.7,1,0.609,1.77,3
m3.0_M5.7_i38_D1.65,1,0.609,1.77,3
m3.0_M5.8_i42_D1.65,1,0.609,1.77,4
m3.0_M5.8_i42_D1.7,1,0.609,1.77,4
m3.1_M5.8_i36_D1.7,1,0.609,1.77,4
m3.1_M5.8_i38_D1.7,1,0.609,1.77,4
m2.9_M5.6_i40_D1.65,1,0.583,1.85,3
m3.0_M5.7_i36_D1.65,1,0.583,1.85,3
m3.0_M5.7_i38_D1.7,1,0.583,1.85,3
m2.8_M5.5_i38_D1.65,1,0.583,1.85,4
m2.8_M5.5_i38_D1.7,1,0.583,1.85,4
m2.8_M5.5_i40_D1.65,1,0.583,1.85,4
m2.8_M5.5_i40_D1.7,1,0.583,1.85,4
m2.8_M5.5_i42_D1.7,1,0.583,1.85,4
m2.8_M5.6_i44_D1.65,1,0.583,1.85,4
m2.9_M5.5_i38_D1.65,1,0.583,1.85,4
m2.9_M5.5_i38_D1.7,1,0.583,1.85,4
m3.0_M5.6_i36_D1.7,1,0.583,1.85,4
m3.0_M5.8_i38_D1.65,1,0.583,1.85,4
m3.0_M5.8_i40_D1.65,1,0.583,1.85,4
m3.0_M5.8_i40_D1.7,1,0.583,1.85,4
m2.8_M5.7_i38_D1.6,1,0.577,2,5
m2.9_M5.5_i36_D1.6,1,0.56,1.92,3
m2.9_M5.7_i42_D1.65,1,0.56,1.92,3
m2.8_M5.6_i42_D1.65,1,0.56,1.92,4
m2.9_M5.6_i40_D1.7,1,0.56,1.92,4
m3.0_M5.8_i36_D1.65,1,0.56,1.92,4
m3.0_M5.8_i38_D1.7,1,0.56,1.92,4
m2.8_M5.6_i44_D1.7,1,0.56,1.92,5
m2.9_M5.7_i40_D1.65,1,0.538,2,3
m2.9_M5.7_i42_D1.7,1,0.538,2,3
m2.8_M5.7_i44_D1.65,1,0.538,2,4
m2.9_M5.6_i36_D1.6,1,0.538,2,4
m3.0_M5.7_i36_D1.7,1,0.538,2,4
m2.8_M5.6_i42_D1.7,1,0.538,2,5
m2.9_M5.6_i38_D1.65,1,0.538,2,5
m2.8_M5.7_i42_D1.65,1,0.519,2.08,4
m2.9_M5.5_i36_D1.65,1,0.519,2.08,4
m2.9_M5.5_i36_D1.7,1,0.519,2.08,4
m2.9_M5.7_i40_D1.7,1,0.519,2.08,4
m2.9_M5.8_i40_D1.65,1,0.519,2.08,4
m2.9_M5.8_i42_D1.65,1,0.519,2.08,4
m2.9_M5.8_i44_D1.65,1,0.519,2.08,4
m2.9_M5.8_i44_D1.7,1,0.519,2.08,4
m3.0_M5.8_i36_D1.7,1,0.519,2.08,4
m2.8_M5.6_i38_D1.65,1,0.519,2.08,5
m2.8_M5.6_i40_D1.65,1,0.519,2.08,5
m2.8_M5.7_i44_D1.7,1,0.519,2.08,5
m2.9_M5.6_i38_D1.7,1,0.519,2.08,5
m2.9_M5.7_i36_D1.6,1,0.517,2.23,5
m2.8_M5.7_i38_D1.65,1,0.517,2.23,6
m2.8_M5.7_i38_D1.7,1,0.517,2.23,6
m2.8_M5.5_i36_D1.6,1,0.5,2.15,4
m2.8_M5.8_i44_D1.65,1,0.5,2.15,4
m2.9_M5.8_i40_D1.7,1,0.5,2.15,4
m2.9_M5.8_i42_D1.7,1,0.5,2.15,4
m2.8_M5.6_i38_D1.7,1,0.5,2.15,5
m2.8_M5.6_i40_D1.7,1,0.5,2.15,5
m2.8_M5.7_i40_D1.65,1,0.5,2.15,5
m2.8_M5.7_i40_D1.7,1,0.5,2.15,5
m2.8_M5.7_i42_D1.7,1,0.5,2.15,5
m2.8_M5.8_i38_D1.6,1,0.5,2.15,5
m2.9_M5.7_i38_D1.65,1,0.5,2.15,5
m2.9_M5.7_i38_D1.7,1,0.5,2.15,5
m2.8_M5.6_i36_D1.6,1,0.484,2.38,6
m2.8_M5.5_i36_D1.65,1,0.483,2.23,4
m2.8_M5.5_i36_D1.7,1,0.483,2.23,4
m2.8_M5.8_i40_D1.65,1,0.483,2.23,5
m2.8_M5.8_i40_D1.7,1,0.483,2.23,5
m2.8_M5.8_i42_D1.65,1,0.483,2.23,5
m2.8_M5.8_i42_D1.7,1,0.483,2.23,5
m2.8_M5.8_i44_D1.7,1,0.483,2.23,5
m2.9_M5.6_i36_D1.65,1,0.483,2.23,5
m2.9_M5.8_i38_D1.65,1,0.483,2.23,5
m2.9_M5.8_i38_D1.7,1,0.483,2.23,5
m2.8_M5.6_i36_D1.65,1,0.469,2.46,6
m2.9_M5.7_i36_D1.65,1,0.469,2.46,6
m2.9_M5.7_i36_D1.7,1,0.469,2.46,6
m2.9_M5.6_i36_D1.7,1,0.467,2.31,5
m2.8_M5.6_i36_D1.7,1,0.455,2.54,6
m2.8_M5.7_i36_D1.6,1,0.455,2.54,6
m2.8_M5.8_i38_D1.65,1,0.452,2.38,5
m2.8_M5.8_i38_D1.7,1,0.452,2.38,5
m2.9_M5.8_i36_D1.6,1,0.452,2.38,5
m2.8_M5.7_i36_D1.65,1,0.441,2.62,6
m2.9_M5.8_i36_D1.65,1,0.438,2.46,5
m2.9_M5.8_i36_D1.7,1,0.438,2.46,5
m2.8_M5.7_i36_D1.7,1,0.429,2.69,6
m2.8_M5.8_i36_D1.6,1,0.424,2.54,5
m2.8_M5.8_i36_D1.65,1,0.424,2.54,5
m2.8_M5.8_i36_D1.7,1,0.4,2.69,5
m2.8_M5.7_i38_D1.5,0.933,0.636,1.69,4
m2.9_M5.7_i36_D1.5,0.933,0.583,1.85,4
m2.8_M5.7_i38_D1.55,0.933,0.583,1.85,5
m2.8_M5.7_i36_D1.5,0.933,0.56,1.92,4
m2.9_M5.7_i36_D1.55,0.933,0.538,2,5
m2.8_M5.6_i36_D1.55,0.933,0.519,2.08,5
m2.8_M5.7_i36_D1.55,0.933,0.5,2.15,5
m3.0_M5.6_i40_D1.55,0.929,0.765,1.31,2
m3.0_M5.6_i40_D1.6,0.929,0.765,1.31,2
m3.0_M5.6_i42_D1.65,0.929,0.765,1.31,2
m3.0_M5.6_i42_D1.7,0.929,0.765,1.31,2
m3.0_M5.6_i44_D1.65,0.929,0.765,1.31,2
m3.0_M5.6_i44_D1.7,0.929,0.765,1.31,2
m3.0_M5.7_i42_D1.5,0.929,0.765,1.31,2
m3.0_M5.7_i44_D1.5,0.929,0.765,1.31,2
m3.0_M5.7_i44_D1.55,0.929,0.765,1.31,2
m3.0_M5.7_i44_D1.6,0.929,0.765,1.31,2
m3.1_M5.5_i38_D1.65,0.929,0.765,1.31,2
m3.1_M5.5_i38_D1.7,0.929,0.765,1.31,2
m3.1_M5.6_i40_D1.65,0.929,0.765,1.31,2
m3.1_M5.6_i40_D1.7,0.929,0.765,1.31,2
m2.9_M5.6_i42_D1.55,0.929,0.722,1.38,2
m2.9_M5.7_i44_D1.5,0.929,0.722,1.38,2
m3.0_M5.5_i36_D1.6,0.929,0.722,1.38,2
m3.0_M5.8_i44_D1.5,0.929,0.722,1.38,2
m3.1_M5.5_i36_D1.6,0.929,0.722,1.38,2
m3.0_M5.6_i36_D1.55,0.929,0.722,1.38,3
m3.0_M5.6_i38_D1.55,0.929,0.722,1.38,3
m3.0_M5.7_i40_D1.5,0.929,0.722,1.38,3
m3.0_M5.7_i42_D1.55,0.929,0.722,1.38,3
m3.0_M5.7_i42_D1.6,0.929,0.722,1.38,3
m3.1_M5.6_i36_D1.55,0.929,0.722,1.38,3
m3.1_M5.6_i38_D1.55,0.929,0.722,1.38,3
m3.1_M5.6_i38_D1.6,0.929,0.722,1.38,3
m3.1_M5.7_i38_D1.5,0.929,0.722,1.38,3
m3.1_M5.7_i42_D1.65,0.929,0.722,1.38,3
m3.1_M5.7_i42_D1.7,0.929,0.722,1.38,3
m2.9_M5.6_i42_D1.6,0.929,0.684,1.46,2
m3.0_M5.5_i38_D1.65,0.929,0.684,1.46,2
m3.0_M5.5_i38_D1.7,0.929,0.684,1.46,2
m2.9_M5.7_i42_D1.5,0.929,0.684,1.46,3
m2.9_M5.7_i44_D1.55,0.929,0.684,1.46,3
m3.0_M5.6_i36_D1.6,0.929,0.684,1.46,3
m3.0_M5.6_i38_D1.6,0.929,0.684,1.46,3
m3.0_M5.7_i38_D1.5,0.929,0.684,1.46,3
m3.1_M5.6_i36_D1.6,0.929,0.684,1.46,3
m3.1_M5.7_i36_D1.5,0.929,0.684,1.46,3
m2.9_M5.6_i40_D1.55,0.929,0.65,1.54,3
m2.9_M5.6_i44_D1.65,0.929,0.65,1.54,3
m2.9_M5.6_i44_D1.7,0.929,0.65,1.54,3
m2.9_M5.7_i40_D1.5,0.929,0.65,1.54,3
m2.9_M5.7_i44_D1.6,0.929,0.65,1.54,3
m2.9_M5.8_i44_D1.5,0.929,0.65,1.54,3
m3.0_M5.7_i36_D1.5,0.929,0.65,1.54,3
m3.0_M5.7_i38_D1.55,0.929,0.65,1.54,3
m3.0_M5.7_i40_D1.55,0.929,0.65,1.54,3
m3.0_M5.7_i40_D1.6,0.929,0.65,1.54,3
m3.0_M5.8_i44_D1.55,0.929,0.65,1.54,3
m3.1_M5.7_i36_D1.55,0.929,0.65,1.54,3
m3.1_M5.7_i36_D1.6,0.929,0.65,1.54,3
m3.1_M5.7_i38_D1.55,0.929,0.65,1.54,3
m3.1_M5.7_i38_D1.6,0.929,0.65,1.54,3
m3.1_M5.7_i40_D1.65,0.929,0.65,1.54,3
m3.1_M5.7_i40_D1.7,0.929,0.65,1.54,3
m3.0_M5.8_i38_D1.5,0.929,0.65,1.54,4
m3.0_M5.8_i40_D1.5,0.929,0.65,1.54,4
m3.0_M5.8_i42_D1.5,0.929,0.65,1.54,4
m3.1_M5.8_i36_D1.5,0.929,0.65,1.54,4
m3.1_M5.8_i38_D1.5,0.929,0.65,1.54,4
m2.8_M5.5_i38_D1.6,0.929,0.619,1.62,3
m2.8_M5.5_i40_D1.6,0.929,0.619,1.62,3
m2.8_M5.5_i42_D1.6,0.929,0.619,1.62,3
m2.8_M5.7_i40_D1.5,0.929,0.619,1.62,3
m2.8_M5.7_i42_D1.5,0.929,0.619,1.62,3
m2.8_M5.7_i44_D1.5,0.929,0.619,1.62,3
m2.9_M5.5_i38_D1.6,0.929,0.619,1.62,3
m2.9_M5.5_i40_D1.65,0.929,0.619,1.62,3
m2.9_M5.6_i40_D1.6,0.929,0.619,1.62,3
m2.9_M5.7_i38_D1.5,0.929,0.619,1.62,3
m2.9_M5.7_i42_D1.55,0.929,0.619,1.62,3
m3.0_M5.7_i36_D1.55,0.929,0.619,1.62,3
m3.0_M5.7_i38_D1.6,0.929,0.619,1.62,3
m3.0_M5.8_i44_D1.6,0.929,0.619,1.62,3
m2.8_M5.6_i42_D1.55,0.929,0.619,1.62,4
m2.8_M5.6_i44_D1.55,0.929,0.619,1.62,4
m2.9_M5.6_i38_D1.55,0.929,0.619,1.62,4
m2.9_M5.8_i40_D1.5,0.929,0.619,1.62,4
m2.9_M5.8_i42_D1.5,0.929,0.619,1.62,4
m3.0_M5.8_i36_D1.5,0.929,0.619,1.62,4
m3.0_M5.8_i38_D1.55,0.929,0.619,1.62,4
m3.0_M5.8_i40_D1.55,0.929,0.619,1.62,4
m3.0_M5.8_i42_D1.55,0.929,0.619,1.62,4
m3.1_M5.8_i36_D1.55,0.929,0.619,1.62,4
m3.1_M5.8_i36_D1.6,0.929,0.619,1.62,4
m3.1_M5.8_i38_D1.55,0.929,0.619,1.62,4
m3.1_M5.8_i38_D1.6,0.929,0.619,1.62,4
m3.1_M5.8_i40_D1.65,0.929,0.619,1.62,4
m3.1_M5.8_i42_D1.65,0.929,0.619,1.62,4
m2.8_M5.5_i44_D1.65,0.929,0.591,1.69,3
m2.9_M5.5_i40_D1.7,0.929,0.591,1.69,3
m2.9_M5.7_i40_D1.55,0.929,0.591,1.69,3
m2.9_M5.7_i42_D1.6,0.929,0.591,1.69,3
m3.0_M5.7_i36_D1.6,0.929,0.591,1.69,3
m2.8_M5.6_i40_D1.55,0.929,0.591,1.69,4
m2.8_M5.6_i42_D1.6,0.929,0.591,1.69,4
m2.8_M5.6_i44_D1.6,0.929,0.591,1.69,4
m2.8_M5.8_i42_D1.5,0.929,0.591,1.69,4
m2.8_M5.8_i44_D1.5,0.929,0.591,1.69,4
m2.9_M5.6_i38_D1.6,0.929,0.591,1.69,4
m2.9_M5.8_i38_D1.5,0.929,0.591,1.69,4
m2.9_M5.8_i42_D1.55,0.929,0.591,1.69,4
m2.9_M5.8_i44_D1.55,0.929,0.591,1.69,4
m3.0_M5.8_i36_D1.55,0.929,0.591,1.69,4
m3.0_M5.8_i38_D1.6,0.929,0.591,1.69,4
m3.0_M5.8_i40_D1.6,0.929,0.591,1.69,4
m3.0_M5.8_i42_D1.6,0.929,0.591,1.69,4
m3.1_M5.8_i40_D1.7,0.929,0.591,1.69,4
m3.1_M5.8_i42_D1.7,0.929,0.591,1.69,4
m2.9_M5.7_i40_D1.6,0.929,0.565,1.77,3
m2.8_M5.5_i44_D1.7,0.929,0.565,1.77,4
m2.8_M5.6_i38_D1.55,0.929,0.565,1.77,4
m2.8_M5.6_i38_D1.6,0.929,0.565,1.77,4
m2.8_M5.6_i40_D1.6,0.929,0.565,1.77,4
m2.8_M5.7_i40_D1.55,0.929,0.565,1.77,4
m2.8_M5.7_i42_D1.55,0.929,0.565,1.77,4
m2.8_M5.7_i44_D1.55,0.929,0.565,1.77,4
m2.8_M5.8_i40_D1.5,0.929,0.565,1.77,4
m2.9_M5.6_i36_D1.55,0.929,0.565,1.77,4
m2.9_M5.7_i38_D1.55,0.929,0.565,1.77,4
m2.9_M5.8_i40_D1.55,0.929,0.565,1.77,4
m3.0_M5.8_i36_D1.6,0.929,0.565,1.77,4
m2.8_M5.7_i40_D1.6,0.929,0.542,1.85,4
m2.8_M5.7_i42_D1.6,0.929,0.542,1.85,4
m2.8_M5.7_i44_D1.6,0.929,0.542,1.85,4
m2.8_M5.8_i38_D1.5,0.929,0.542,1.85,4
m2.8_M5.8_i42_D1.55,0.929,0.542,1.85,4
m2.8_M5.8_i44_D1.55,0.929,0.542,1.85,4
m2.9_M5.7_i38_D1.6,0.929,0.542,1.85,4
m2.9_M5.8_i38_D1.55,0.929,0.542,1.85,4
m2.9_M5.8_i40_D1.6,0.929,0.542,1.85,4
m2.9_M5.8_i42_D1.6,0.929,0.542,1.85,4
m2.9_M5.8_i44_D1.6,0.929,0.542,1.85,4
m2.8_M5.4_i36_D1.6,0.929,0.52,1.92,3
m2.8_M5.4_i36_D1.7,0.929,0.52,1.92,4
m2.8_M5.8_i40_D1.55,0.929,0.52,1.92,4
m2.8_M5.8_i40_D1.6,0.929,0.52,1.92,4
m2.8_M5.8_i42_D1.6,0.929,0.52,1.92,4
m2.8_M5.8_i44_D1.6,0.929,0.52,1.92,4
m2.9_M5.8_i38_D1.6,0.929,0.52,1.92,4
m2.8_M5.4_i36_D1.65,0.929,0.5,2,4
m2.8_M5.8_i36_D1.5,0.929,0.5,2,4
m2.9_M5.8_i36_D1.5,0.929,0.5,2,4
m2.8_M5.8_i38_D1.55,0.929,0.481,2.08,5
m2.9_M5.8_i36_D1.55,0.929,0.464,2.15,4
m2.8_M5.8_i36_D1.55,0.929,0.448,2.23,5
m3.0_M5.4_i40_D1.7,0.923,0.8,1.15,2
m2.9_M5.4_i44_D1.7,0.923,0.75,1.23,2
m3.0_M5.5_i40_D1.65,0.923,0.75,1.23,2
m3.0_M5.5_i40_D1.7,0.923,0.75,1.23,2
m3.0_M5.5_i42_D1.65,0.923,0.75,1.23,2
m3.0_M5.5_i42_D1.7,0.923,0.75,1.23,2
m3.1_M5.4_i36_D1.7,0.923,0.75,1.23,2
m3.0_M5.4_i38_D1.7,0.923,0.706,1.31,2
m2.9_M5.5_i44_D1.65,0.923,0.667,1.38,2
m2.9_M5.5_i44_D1.7,0.923,0.667,1.38,2
m3.0_M5.4_i36_D1.7,0.923,0.667,1.38,2
m2.9_M5.4_i42_D1.7,0.923,0.667,1.38,3
m2.9_M5.4_i40_D1.7,0.923,0.632,1.46,3
m2.9_M5.5_i42_D1.65,0.923,0.632,1.46,3
m2.9_M5.5_i42_D1.7,0.923,0.632,1.46,3
m2.8_M5.4_i44_D1.7,0.923,0.6,1.54,3
m2.8_M5.4_i42_D1.7,0.923,0.571,1.62,3
m2.9_M5.4_i36_D1.6,0.923,0.571,1.62,3
m2.9_M5.4_i38_D1.7,0.923,0.571,1.62,3
m2.8_M5.4_i38_D1.7,0.923,0.545,1.69,4
m2.8_M5.4_i40_D1.7,0.923,0.545,1.69,4
m2.9_M5.4_i36_D1.65,0.923,0.522,1.77,3
m2.9_M5.4_i36_D1.7,0.923,0.522,1.77,4
m2.8_M5.6_i36_D1.5,0.867,0.542,1.85,4
m3.2_M5.6_i40_D1.65,0.857,0.857,1.08,2
m3.2_M5.6_i40_D1.7,0.857,0.857,1.08,2
m3.1_M5.7_i44_D1.65,0.857,0.8,1.15,2
m3.1_M5.7_i44_D1.7,0.857,0.8,1.15,2
m3.2_M5.6_i38_D1.65,0.857,0.8,1.15,2
m3.2_M5.6_i38_D1.7,0.857,0.8,1.15,2
m3.2_M5.7_i42_D1.65,0.857,0.8,1.15,2
m3.2_M5.7_i42_D1.7,0.857,0.8,1.15,2
m3.0_M5.5_i36_D1.55,0.857,0.75,1.23,2
m3.0_M5.5_i38_D1.55,0.857,0.75,1.23,2
m3.0_M5.6_i42_D1.55,0.857,0.75,1.23,2
m3.0_M5.6_i42_D1.6,0.857,0.75,1.23,2
m3.0_M5.6_i44_D1.55,0.857,0.75,1.23,2
m3.0_M5.6_i44_D1.6,0.857,0.75,1.23,2
m3.1_M5.5_i36_D1.55,0.857,0.75,1.23,2
m3.1_M5.5_i38_D1.55,0.857,0.75,1.23,2
m3.1_M5.5_i38_D1.6,0.857,0.75,1.23,2
m3.1_M5.6_i40_D1.55,0.857,0.75,1.23,2
m3.1_M5.6_i40_D1.6,0.857,0.75,1.23,2
m3.1_M5.6_i42_D1.65,0.857,0.75,1.23,2
m3.1_M5.6_i42_D1.7,0.857,0.75,1.23,2
m3.1_M5.7_i42_D1.5,0.857,0.75,1.23,2
m3.2_M5.5_i36_D1.65,0.857,0.75,1.23,2
m3.2_M5.5_i36_D1.7,0.857,0.75,1.23,2
m3.2_M5.7_i40_D1.65,0.857,0.75,1.23,2
m3.2_M5.7_i40_D1.7,0.857,0.75,1.23,2
m2.9_M5.5_i40_D1.55,0.857,0.706,1.31,2
m2.9_M5.6_i44_D1.55,0.857,0.706,1.31,2
m3.0_M5.5_i38_D1.6,0.857,0.706,1.31,2
m3.0_M5.6_i36_D1.5,0.857,0.706,1.31,2
m3.0_M5.6_i38_D1.5,0.857,0.706,1.31,2
m3.0_M5.6_i40_D1.5,0.857,0.706,1.31,2
m3.1_M5.6_i36_D1.5,0.857,0.706,1.31,2
m3.1_M5.6_i38_D1.5,0.857,0.706,1.31,2
m3.1_M5.7_i40_D1.5,0.857,0.706,1.31,3
m3.1_M5.7_i42_D1.55,0.857,0.706,1.31,3
m3.1_M5.7_i42_D1.6,0.857,0.706,1.31,3
m3.2_M5.8_i42_D1.65,0.857,0.706,1.31,3
m2.9_M5.6_i40_D1.5,0.857,0.667,1.38,2
m2.9_M5.6_i42_D1.5,0.857,0.667,1.38,2
m2.9_M5.6_i44_D1.6,0.857,0.667,1.38,2
m3.1_M5.7_i40_D1.55,0.857,0.667,1.38,3
m3.1_M5.7_i40_D1.6,0.857,0.667,1.38,3
m3.1_M5.8_i44_D1.65,0.857,0.667,1.38,3
